"Дата акції від дати завантаження до дати закінчення, план | Мережа | Продукція | Еталонний місяць","06.07-16.07.25 | Варус | торт Пінчер з вишнею (0,8кг) ОПТ | Травень","06.07-16.07.25 | Варус | торт Наполеон (1,0 кг) ОПТ  | Травень","06.07-16.07.25 | Варус | торт Червоний оксамит (0,5 кг)  | Травень",Мануилова А..3 | Мануилова А..3 | Мануилова А..3 | Мануилова А..3,"06.07-16.07.25 | Варус | торт Фісташка з лохиною (0,5 кг)  | Травень"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..143,"0,3"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..143,"1,7"
,,,,Григорян С..143,
Резульати,,,,Григорян С..143,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..143,47 922
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..143,469 057
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..143,150 117
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..143,217 675
,,,,Григорян С..143,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..143,28 971
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..143,6 765
,93 185,65 126,7 246,Григорян С..143,35 737
"PL, грн план",137 366,123 334,5 677,Григорян С..143,15 155
"PL, % план","17,02%","21,60%","6,27%",Григорян С..143,"3,23%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..144,16.06-06.07.25
Мережа,Варус,Варус,Варус,Григорян С..144,Фудком
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..144,Тістечко Еклери з солоною карамеллю 1шт Флоу Пак БОКС стм Moncake
Еталонний місяць,Травень,Травень,Травень,Григорян С..144,Березень
Акційний місяць,Липень,Липень,Липень,Григорян С..144,Червень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..144,"0,94"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..144,44 550
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..144,2 620
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..144,"66,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..144,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..144,16%
"Повернення без акції, %",2%,1%,10%,Григорян С..144,0%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..144,0%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..144,56%
"Витрати на активацію, грн",0,0,0,Григорян С..144,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..144,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..144,2
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..144,2
,,,,Григорян С..144,
Резульати,,,,Григорян С..144,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..144,5 473
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..144,83 755
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..144,20 939
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..144,33 502
,,,,Григорян С..144,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..144,6 282
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..144,6 020
,93 185,65 126,7 246,Григорян С..144,12 302
"PL, грн план",137 366,123 334,5 677,Григорян С..144,261
"PL, % план","17,02%","21,60%","6,27%",Григорян С..144,"0,31%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..145,16.06-06.07.25
Мережа,Варус,Варус,Варус,Григорян С..145,Фудком
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..145,Тістечко Еклери з заварним кремом 1шт Флоу Пак БОКС стм Moncake
Еталонний місяць,Травень,Травень,Травень,Григорян С..145,Березень
Акційний місяць,Липень,Липень,Липень,Григорян С..145,Червень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..145,"0,94"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..145,49 312
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..145,2 900
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..145,"75,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..145,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..145,16%
"Повернення без акції, %",2%,1%,10%,Григорян С..145,0%
